total_price_pln,price_pln,czynsz_pln,area_m2,price_per_m2,rooms,floor_number,year_built,building_type,owner_type,lat,lon,has_balcony,has_terrace,has_garden,has_elevator,has_garage,has_parking,has_storage_room,has_air_conditioning,has_furnished,has_dishwasher,has_washing_machine,has_fridge,has_oven,has_intercom,has_monitoring,has_protected_estate,has_pets_allowed
3750.0,3300.0,450.0,48.0,78.12,2.0,3.0,2021.0,blok,private,54.4114,18.58935,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0
5450.0,4500.0,950.0,60.0,90.83,3.0,2.0,2024.0,blok,private,54.400925743075,18.648733072882,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
4000.0,2800.0,1200.0,65.0,61.54,3.0,1.0,2008.0,dom wolnostojący,private,54.3399,18.61921,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0
3550.0,2550.0,1000.0,32.0,110.94,2.0,1.0,2025.0,apartamentowiec,agency,54.345197639308,18.664645488638,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1
6550.0,5500.0,1050.0,73.0,89.73,3.0,2.0,2023.0,apartamentowiec,agency,54.414137742075,18.600062878278,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
3870.0,3200.0,670.0,40.0,96.75,2.0,6.0,2018.0,apartamentowiec,private,54.3942647,18.6471031,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
3050.0,2200.0,850.0,37.0,82.43,2.0,1.0,1958.0,kamienica,private,54.3533165,18.6525787,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0
4170.0,3500.0,670.0,51.0,81.76,2.0,3.0,2019.0,apartamentowiec,agency,54.40674,18.57767,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
3094.0,2680.0,414.0,49.0,63.14,2.0,3.0,2019.0,blok,agency,54.32875,18.58689,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
5400.0,4500.0,900.0,61.0,88.52,2.0,5.0,2021.0,apartamentowiec,private,54.3431944,18.6517586,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0
6200.0,5400.0,800.0,76.85,80.68,3.0,3.0,2025.0,apartamentowiec,agency,54.37064,18.64898,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0
5500.0,4800.0,700.0,47.27,116.35,2.0,3.0,2025.0,apartamentowiec,agency,54.37064,18.64898,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0
3700.0,3200.0,500.0,42.0,88.1,2.0,3.0,2022.0,blok,agency,54.328228,18.591992,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0
2200.0,1600.0,600.0,19.0,115.79,1.0,2.0,2019.0,apartamentowiec,private,54.354229959187,18.676513144449,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0
2550.0,2200.0,350.0,31.0,82.26,1.0,0.0,2019.0,blok,private,54.3284947,18.6084222,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0
2990.0,1990.0,1000.0,24.0,124.58,1.0,1.0,2025.0,apartamentowiec,agency,54.345497822677,18.664527471442,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1
4400.0,3400.0,1000.0,42.0,104.76,2.0,5.0,2026.0,apartamentowiec,private,54.402242813055,18.650221431712,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
